y[ft]	L
73.8	2621.447683
73.9	2614.698972
74	2607.936428
74.1	2601.159949
74.2	2594.369433
74.3	2587.564774
74.4	2580.745867
74.5	2573.912604
74.6	2567.064877
74.7	2560.202575
74.8	2553.325587
74.9	2546.433799
75	2539.527095
75.1	2532.605359
75.2	2525.668473
75.3	2518.716316
75.4	2511.748766
75.5	2504.765699
75.6	2497.76699
75.7	2490.752512
75.8	2483.722134
75.9	2476.675726
76	2469.613155
76.1	2462.534284
76.2	2455.438976
76.3	2448.327092
76.4	2441.19849
76.5	2434.053026
76.6	2426.890554
76.7	2419.710924
76.8	2412.513987
76.9	2405.299589
77	2398.067573
77.1	2390.817782
77.2	2383.550054
77.3	2376.264226
77.4	2368.960131
77.5	2361.6376
77.6	2354.296461
77.7	2346.93654
77.8	2339.557657
77.9	2332.159633
78	2324.742282
78.1	2317.305418
78.2	2309.848851
78.3	2302.372385
78.4	2294.875823
78.5	2287.358965
78.6	2279.821605
78.7	2272.263536
78.8	2264.684545
78.9	2257.084416
79	2249.462928
79.1	2241.819858
79.2	2234.154976
79.3	2226.46805
79.4	2218.758843
79.5	2211.027112
79.6	2203.272611
79.7	2195.495087
79.8	2187.694286
79.9	2179.869944
80	2172.021794
80.1	2164.149565
80.2	2156.252978
80.3	2148.33175
80.4	2140.38559
80.5	2132.414203
80.6	2124.417288
80.7	2116.394535
80.8	2108.345628
80.9	2100.270248
81	2092.168063
81.1	2084.038738
81.2	2075.881928
81.3	2067.697283
81.4	2059.484442
81.5	2051.243037
81.6	2042.972692
81.7	2034.673021
81.8	2026.34363
81.9	2017.984115
82	2009.594063
82.1	2001.173049
82.2	1992.72064
82.3	1984.23639
82.4	1975.719844
82.5	1967.170533
82.6	1958.587979
82.7	1949.971688
82.8	1941.321157
82.9	1932.635866
83	1923.915284
83.1	1915.158864
83.2	1906.366045
83.3	1897.536249
83.4	1888.668883
83.5	1879.763338
83.6	1870.818985
83.7	1861.83518
83.8	1852.811258
83.9	1843.746534
84	1834.640305
84.1	1825.491844
84.2	1816.300403
84.3	1807.06521
84.4	1797.785468
84.5	1788.460358
84.6	1779.08903
84.7	1769.670609
84.8	1760.204189
84.9	1750.688837
85	1741.123583
85.1	1731.507428
85.2	1721.839335
85.3	1712.118232
85.4	1702.343006
85.5	1692.512506
85.6	1682.625536
85.7	1672.680855
85.8	1662.677176
85.9	1652.613159
86	1642.487414
86.1	1632.298493
86.2	1622.04489
86.3	1611.725033
86.4	1601.337289
86.5	1590.87995
86.6	1580.351236
86.7	1569.749285
86.8	1559.072152
86.9	1548.317802
87	1537.484103
87.1	1526.568823
87.2	1515.569616
87.3	1504.484023
87.4	1493.309457
87.5	1482.043196
87.6	1470.682375
87.7	1459.22397
87.8	1447.664791
87.9	1436.001466
88	1424.230426
88.1	1412.347888
88.2	1400.34984
88.3	1388.232016
88.4	1375.989877
88.5	1363.618583
88.6	1351.112967
88.7	1338.4675
88.8	1325.676257
88.9	1312.732875
89	1299.630506
89.1	1286.361763
89.2	1272.91866
89.3	1259.292542
89.4	1245.473999
89.5	1231.452777
89.6	1217.217664
89.7	1202.756358
89.8	1188.055316
89.9	1173.099571
90	1157.872509
90.1	1142.355606
90.2	1126.528104
90.3	1110.366616
90.4	1093.844632
90.5	1076.9319
90.6	1059.593646
90.7	1041.78956
90.8	1023.472476
90.9	1004.586626
91	985.0652521
91.1	964.8273214
91.2	943.7728358
91.3	921.7759626
91.4	898.6745869
91.5	874.2537069
91.6	848.2175543
91.7	820.1393753
91.8	789.3620961
91.9	754.774146
92	714.1894897
92.1	661.8550603
92.19544457	544.5585408
92.2	544.4172794
